#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
587595000 ; 24.9197 ; 3.30284 ; 0 ; 0
587700000 ; 24.9428 ; 3.30261 ; 0 ; 0
587801000 ; 24.9525 ; 3.30254 ; 0 ; 0
587902000 ; 24.9294 ; 3.30383 ; 0 ; 0
587999000 ; 24.927 ; 3.30414 ; 0 ; 0
588100000 ; 36.0801 ; 3.30521 ; 0 ; 0
588209000 ; 36.1337 ; 3.30574 ; 0 ; 0
588305000 ; 36.1738 ; 3.30505 ; 0 ; 0
588407000 ; 36.197 ; 3.30536 ; 0 ; 0
588515000 ; 36.2164 ; 3.30544 ; 0 ; 0
588607000 ; 36.214 ; 3.30643 ; 0 ; 0
588707000 ; 36.2615 ; 3.30544 ; 0 ; 0
588803000 ; 36.2578 ; 3.30574 ; 0 ; 0
588901000 ; 36.281 ; 3.30521 ; 0 ; 0
589000000 ; 36.2956 ; 3.30551 ; 0 ; 0
589102000 ; 36.2834 ; 3.30544 ; 0 ; 0
589203000 ; 36.3211 ; 3.30521 ; 0 ; 0
589301000 ; 36.337 ; 3.30551 ; 0 ; 0
589398000 ; 36.3528 ; 3.30536 ; 0 ; 0
589495000 ; 36.3552 ; 3.30559 ; 0 ; 0
589592000 ; 36.3735 ; 3.30559 ; 0 ; 0
589692000 ; 36.3723 ; 3.30551 ; 0 ; 0
589798000 ; 47.4122 ; 3.30772 ; 0 ; 0
589898000 ; 47.4463 ; 3.30879 ; 0 ; 0
589997000 ; 47.4974 ; 3.30826 ; 0 ; 0
590094000 ; 47.5205 ; 3.30757 ; 0 ; 0
590199000 ; 47.54 ; 3.30757 ; 0 ; 0
590306000 ; 47.5437 ; 3.30742 ; 0 ; 0
590406000 ; 47.5546 ; 3.30765 ; 0 ; 0
590502000 ; 47.5936 ; 3.30879 ; 0 ; 0
590600000 ; 47.5984 ; 3.30864 ; 0 ; 0
590700000 ; 47.613 ; 3.3078 ; 0 ; 0
590806000 ; 47.6179 ; 3.30757 ; 0 ; 0
590904000 ; 47.6191 ; 3.3078 ; 0 ; 0
591003000 ; 47.6484 ; 3.3075 ; 0 ; 0
591101000 ; 47.6764 ; 3.30772 ; 0 ; 0
591200000 ; 47.6642 ; 3.30795 ; 0 ; 0
591304000 ; 47.6727 ; 3.30772 ; 0 ; 0
591407000 ; 47.6873 ; 3.30795 ; 0 ; 0
591511000 ; 47.6934 ; 3.30826 ; 0 ; 0
591605000 ; 47.6934 ; 3.30788 ; 0 ; 0
591702000 ; 47.7226 ; 3.3075 ; 0 ; 0
591800000 ; 47.7153 ; 3.3078 ; 0 ; 0
591906000 ; 1.66258 ; 3.29803 ; 0 ; 0
592011000 ; 1.66137 ; 3.2975 ; 0 ; 0
592106000 ; 1.66745 ; 3.29956 ; 0 ; 0
592205000 ; 1.67354 ; 3.29765 ; 0 ; 0
592301000 ; 1.65893 ; 3.29796 ; 0 ; 0
592401000 ; 1.67354 ; 3.2975 ; 0 ; 0
592500000 ; 1.65163 ; 3.29727 ; 0 ; 0
592598000 ; 1.64798 ; 3.29712 ; 0 ; 0
592701000 ; 1.66745 ; 3.29697 ; 0 ; 0
592805000 ; 1.66624 ; 3.29712 ; 0 ; 0
592910000 ; 1.66015 ; 3.29697 ; 0 ; 0
593016000 ; 1.64676 ; 3.29697 ; 0 ; 0
593114000 ; 1.65528 ; 3.30009 ; 0 ; 0
593211000 ; 1.66624 ; 3.29712 ; 0 ; 0
593308000 ; 1.66258 ; 3.29895 ; 0 ; 0
593407000 ; 1.66867 ; 3.29727 ; 0 ; 0
593506000 ; 1.67719 ; 3.29689 ; 0 ; 0
593610000 ; 1.67476 ; 3.29727 ; 0 ; 0
593721000 ; 1.66015 ; 3.29697 ; 0 ; 0
593813000 ; 1.65771 ; 3.29674 ; 0 ; 0
593920000 ; 1.64432 ; 3.29681 ; 0 ; 0
594030000 ; 1.68085 ; 3.29697 ; 0 ; 0
594129000 ; 1.66867 ; 3.29681 ; 0 ; 0
594238000 ; 1.67598 ; 3.29704 ; 0 ; 0
594351000 ; 1.6565 ; 3.29681 ; 0 ; 0
